24,7,8,23,16,29,13,17,11,1,9,20,27,15,19,25,2,6,28,18,22,21,3,30,12,10,4,14,5,26
16,29,30,15,8,21,5,9,3,23,1,12,19,7,11,17,24,28,20,10,14,13,25,22,4,2,26,6,27,18
4,17,18,3,26,9,23,27,21,11,19,30,7,25,29,5,12,16,8,28,2,1,13,10,22,20,14,24,15,6
22,5,6,21,14,27,11,15,9,29,7,18,25,13,17,23,30,4,26,16,20,19,1,28,10,8,2,12,3,24
21,4,5,20,13,26,10,14,8,28,6,17,24,12,16,22,29,3,25,15,19,18,30,27,9,7,1,11,2,23
26,9,10,25,18,1,15,19,13,3,11,22,29,17,21,27,4,8,30,20,24,23,5,2,14,12,6,16,7,28
11,24,25,10,3,16,30,4,28,18,26,7,14,2,6,12,19,23,15,5,9,8,20,17,29,27,21,1,22,13
23,6,7,22,15,28,12,16,10,30,8,19,26,14,18,24,1,5,27,17,21,20,2,29,11,9,3,13,4,25
18,1,2,17,10,23,7,11,5,25,3,14,21,9,13,19,26,30,22,12,16,15,27,24,6,4,28,8,29,20
14,27,28,13,6,19,3,7,1,21,29,10,17,5,9,15,22,26,18,8,12,11,23,20,2,30,24,4,25,16
28,11,12,27,20,3,17,21,15,5,13,24,1,19,23,29,6,10,2,22,26,25,7,4,16,14,8,18,9,30
15,28,29,14,7,20,4,8,2,22,30,11,18,6,10,16,23,27,19,9,13,12,24,21,3,1,25,5,26,17
9,22,23,8,1,14,28,2,26,16,24,5,12,30,4,10,17,21,13,3,7,6,18,15,27,25,19,29,20,11
10,23,24,9,2,15,29,3,27,17,25,6,13,1,5,11,18,22,14,4,8,7,19,16,28,26,20,30,21,12
8,21,22,7,30,13,27,1,25,15,23,4,11,29,3,9,16,20,12,2,6,5,17,14,26,24,18,28,19,10
27,10,11,26,19,2,16,20,14,4,12,23,30,18,22,28,5,9,1,21,25,24,6,3,15,13,7,17,8,29
5,18,19,4,27,10,24,28,22,12,20,1,8,26,30,6,13,17,9,29,3,2,14,11,23,21,15,25,16,7
1,14,15,30,23,6,20,24,18,8,16,27,4,22,26,2,9,13,5,25,29,28,10,7,19,17,11,21,12,3
19,2,3,18,11,24,8,12,6,26,4,15,22,10,14,20,27,1,23,13,17,16,28,25,7,5,29,9,30,21
25,8,9,24,17,30,14,18,12,2,10,21,28,16,20,26,3,7,29,19,23,22,4,1,13,11,5,15,6,27
7,20,21,6,29,12,26,30,24,14,22,3,10,28,2,8,15,19,11,1,5,4,16,13,25,23,17,27,18,9
29,12,13,28,21,4,18,22,16,6,14,25,2,20,24,30,7,11,3,23,27,26,8,5,17,15,9,19,10,1
6,19,20,5,28,11,25,29,23,13,21,2,9,27,1,7,14,18,10,30,4,3,15,12,24,22,16,26,17,8
30,13,14,29,22,5,19,23,17,7,15,26,3,21,25,1,8,12,4,24,28,27,9,6,18,16,10,20,11,2
13,26,27,12,5,18,2,6,30,20,28,9,16,4,8,14,21,25,17,7,11,10,22,19,1,29,23,3,24,15
12,25,26,11,4,17,1,5,29,19,27,8,15,3,7,13,20,24,16,6,10,9,21,18,30,28,22,2,23,14
20,3,4,19,12,25,9,13,7,27,5,16,23,11,15,21,28,2,24,14,18,17,29,26,8,6,30,10,1,22
3,16,17,2,25,8,22,26,20,10,18,29,6,24,28,4,11,15,7,27,1,30,12,9,21,19,13,23,14,5
2,15,16,1,24,7,21,25,19,9,17,28,5,23,27,3,10,14,6,26,30,29,11,8,20,18,12,22,13,4
17,30,1,16,9,22,6,10,4,24,2,13,20,8,12,18,25,29,21,11,15,14,26,23,5,3,27,7,28,19
